date,cash,position_value,mkt_value
2025-10-06,80419.0,21625.0,102044.0
2025-10-07,80419.0,21233.0,101652.0
2025-10-08,80419.0,21507.0,101926.0
2025-10-09,80419.0,21412.0,101831.0
2025-10-10,80419.0,20417.0,100836.0
2025-10-13,80419.0,21049.0,101468.0
2025-10-14,80419.0,20757.0,101176.0
2025-10-15,80419.0,20942.0,101361.0
2025-10-16,80419.0,20817.0,101236.0
2025-10-17,80419.0,20895.0,101314.0
2025-10-20,80419.0,21187.0,101606.0
2025-10-21,80419.0,21446.0,101865.0
2025-10-22,80419.0,21060.0,101479.0
2025-10-23,80419.0,21244.0,101663.0
2025-10-24,80419.0,21492.0,101911.0
2025-10-27,80419.0,22075.0,102494.0
2025-10-28,80419.0,22336.0,102755.0
2025-10-29,80419.0,22704.0,103123.0
2025-10-30,80419.0,22093.0,102512.0
2025-10-31,102929.0,0.0,102929.0
2025-11-03,77167.0,25742.0,102909.0
2025-11-04,77167.0,25186.0,102353.0
2025-11-05,77167.0,25425.0,102592.0
2025-11-06,77167.0,24954.0,102121.0
2025-11-07,77167.0,24726.0,101893.0
2025-11-10,77167.0,25354.0,102521.0
2025-11-11,77167.0,25407.0,102574.0
2025-11-12,77167.0,25598.0,102765.0
2025-11-13,77167.0,25009.0,102176.0
2025-11-14,77167.0,24977.0,102144.0
2025-11-17,77167.0,24770.0,101937.0
2025-11-18,91119.0,10415.0,101534.0
2025-11-19,91119.0,10470.0,101589.0
2025-11-20,102177.0,-824.0000000000014,101353.0
2025-11-21,102177.0,-736.9999999999991,101440.0
2025-11-24,102177.0,-596.0,101581.0
2025-11-25,102177.0,-448.9999999999982,101728.0
2025-11-26,102177.0,-641.0000000000018,101536.0
2025-11-28,101368.0,0.0,101368.0
2025-12-01,83501.0,17776.0,101277.0
2025-12-02,83501.0,17900.0,101401.0
2025-12-03,83501.0,17949.0,101450.0
2025-12-04,83501.0,17946.0,101447.0
2025-12-05,83501.0,17962.0,101463.0
2025-12-08,83501.0,17975.0,101476.0
2025-12-09,83501.0,17885.0,101386.0
2025-12-10,83501.0,18056.0,101557.0
2025-12-11,83501.0,17987.0,101488.0
2025-12-12,83501.0,17526.0,101027.0
2025-12-15,83501.0,17595.0,101096.0
2025-12-16,83501.0,17484.0,100985.0
2025-12-17,83501.0,17037.0,100538.0
2025-12-18,83501.0,17379.0,100880.0
2025-12-19,83501.0,17769.0,101270.0
2025-12-22,83501.0,17919.0,101420.0
2025-12-23,83501.0,18012.0,101513.0
2025-12-24,83501.0,18051.0,101552.0
2025-12-26,83501.0,18050.0,101551.0
2025-12-29,83501.0,17989.0,101490.0
2025-12-30,83501.0,17945.0,101446.0
2025-12-31,101309.0,0.0,101309.0
2026-01-02,96127.0,5465.0,101592.0
2026-01-05,96127.0,5432.0,101559.0
2026-01-06,96127.0,5731.0,101858.0
2026-01-07,96127.0,5904.0,102031.0
2026-01-08,96127.0,5617.0,101744.0
2026-01-09,96127.0,5388.0,101515.0
2026-01-12,96127.0,5347.0,101474.0
2026-01-13,96127.0,5171.0,101298.0
2026-01-14,96127.0,5395.0,101522.0
2026-01-15,96127.0,5228.0,101355.0
2026-01-16,96127.0,5096.0,101223.0
2026-01-20,96127.0,5331.0,101458.0
2026-01-21,96127.0,5499.0,101626.0
2026-01-22,96127.0,5515.0,101642.0
2026-01-23,96127.0,5358.0,101485.0
2026-01-26,96127.0,5513.0,101640.0
2026-01-27,96127.0,5106.0,101233.0
2026-01-28,96127.0,5130.0,101257.0
2026-01-29,96127.0,5148.0,101275.0
2026-01-30,101287.0,0.0,101287.0
2026-02-02,113742.0,-12565.0,101177.0
2026-02-03,113742.0,-11807.000000000002,101935.0
2026-02-04,113742.0,-10959.0,102783.0
2026-02-05,113742.0,-10661.0,103081.0
2026-02-06,113742.0,-10977.0,102765.0
2026-02-09,113742.0,-11113.0,102629.0
2026-02-10,113742.0,-11144.000000000002,102598.0
2026-02-11,113742.0,-10832.0,102910.0
2026-02-12,113742.0,-10457.0,103285.0
2026-02-13,113742.0,-10507.0,103235.0
2026-02-17,113742.0,-10724.999999999998,103017.0
2026-02-18,113742.0,-10770.0,102972.0
2026-02-19,113742.0,-10688.0,103054.0
2026-02-20,113742.0,-10893.0,102849.0
2026-02-23,113742.0,-10311.000000000002,103431.0
2026-02-24,109022.0,-5886.0,103136.0
2026-02-25,109022.0,-6316.0,102706.0
2026-02-26,109022.0,-6115.0,102907.0
2026-02-27,103394.0,0.0,103394.0
2026-03-02,104827.0,-1707.0,103120.0
2026-03-03,104827.0,-1917.0,102910.0
2026-03-04,104827.0,-2365.0,102462.0
2026-03-05,104827.0,-2859.0,101968.0
2026-03-06,104827.0,-2593.0,102234.0
2026-03-09,104827.0,-2743.0,102084.0
2026-03-10,104827.0,-2876.0,101951.0
2026-03-11,104827.0,-2790.0,102037.0
2026-03-12,104827.0,-2576.0,102251.0
2026-03-13,104827.0,-2501.000000000002,102326.0
2026-03-16,104827.0,-2692.0,102135.0
2026-03-17,104827.0,-2775.0,102052.0
2026-03-18,109675.0,-7389.0,102286.0
2026-03-19,109675.0,-7370.0,102305.0
2026-03-20,125842.0,-23280.0,102562.0
2026-03-23,125842.0,-23671.0,102171.0
2026-03-24,125842.0,-23427.0,102415.0
2026-03-25,125842.0,-23626.0,102216.0
2026-03-26,125842.0,-22886.0,102956.0
2026-03-27,125842.0,-22085.0,103757.0
2026-03-30,125842.0,-21956.0,103886.0
2026-03-31,102843.0,0.0,102843.0
2026-04-01,116631.0,-13861.0,102770.0
2026-04-02,116631.0,-13767.0,102864.0
2026-04-06,116631.0,-13963.0,102668.0
2026-04-07,116631.0,-13857.0,102774.0
2026-04-08,116631.0,-14713.0,101918.0
2026-04-09,116631.0,-14999.0,101632.0
